Error al procesar el item {}: {}Calle(id=null, codigo=7, via=CL, nombre=AARON, primerNum=1, ultimoNum=3, barrio=MANGAS VERDES, codDistrito=3, nomDistrito=CIUDAD JARDIN)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=238, via=CL, nombre=ACEBUCHE, primerNum=2, ultimoNum=2, barrio=CARLOS HAYA, codDistrito=4, nomDistrito=BAILEN-MIRAFLORES)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=245, via=CL, nombre=ACEITERO, primerNum=1, ultimoNum=3, barrio=SAN JULIAN, codDistrito=8, nomDistrito=CHURRIANA)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=245, via=CL, nombre=ACEITERO, primerNum=2, ultimoNum=4, barrio=SAN JULIAN, codDistrito=8, nomDistrito=CHURRIANA)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=252, via=CL, nombre=ACEITUNAS LAS, primerNum=1, ultimoNum=13, barrio=SIERRA BLANQUILLA, codDistrito=1, nomDistrito=CENTRO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=252, via=CL, nombre=ACEITUNAS LAS, primerNum=2, ultimoNum=6, barrio=SIERRA BLANQUILLA, codDistrito=1, nomDistrito=CENTRO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=280, via=CL, nombre=ACEITUNO, primerNum=1, ultimoNum=21, barrio=EL OLIVAR, codDistrito=8, nomDistrito=CHURRIANA)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=280, via=CL, nombre=ACEITUNO, primerNum=2, ultimoNum=40, barrio=EL OLIVAR, codDistrito=8, nomDistrito=CHURRIANA)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=308, via=CL, nombre=ACEQUIA, primerNum=1, ultimoNum=13, barrio=HUELIN, codDistrito=7, nomDistrito=CARRETERA DE CADIZ)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=308, via=CL, nombre=ACEQUIA, primerNum=2, ultimoNum=6, barrio=HUELIN, codDistrito=7, nomDistrito=CARRETERA DE CADIZ)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=322, via=PL, nombre=ACINIPO, primerNum=1, ultimoNum=3, barrio=SAGRADA FAMILIA, codDistrito=3, nomDistrito=CIUDAD JARDIN)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=322, via=PL, nombre=ACINIPO, primerNum=2, ultimoNum=2, barrio=SAGRADA FAMILIA, codDistrito=3, nomDistrito=CIUDAD JARDIN)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=323, via=CL, nombre=ACTRIZ AMELIA DE LA TORRE, primerNum=1, ultimoNum=21, barrio=PARQ EMP TREVENEZ, codDistrito=9, nomDistrito=CAMPANILLAS)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=323, via=CL, nombre=ACTRIZ AMELIA DE LA TORRE, primerNum=2, ultimoNum=42, barrio=PARQ EMP TREVENEZ, codDistrito=9, nomDistrito=CAMPANILLAS)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=325, via=CL, nombre=ACTRIZ LA TIRANA, primerNum=1, ultimoNum=3, barrio=EL DUENDE, codDistrito=6, nomDistrito=CRUZ DE HUMILLADERO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=325, via=CL, nombre=ACTRIZ LA TIRANA, primerNum=2, ultimoNum=2, barrio=EL DUENDE, codDistrito=6, nomDistrito=CRUZ DE HUMILLADERO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=329, via=CL, nombre=ACTRIZ RAFAELA APARICIO, primerNum=1, ultimoNum=9, barrio=OROZCO, codDistrito=10, nomDistrito=PUERTO DE LA TORRE)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=329, via=CL, nombre=ACTRIZ RAFAELA APARICIO, primerNum=2, ultimoNum=38, barrio=OROZCO, codDistrito=10, nomDistrito=PUERTO DE LA TORRE)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=336, via=CL, nombre=ACTRIZ ROSARIO PINO, primerNum=1, ultimoNum=41, barrio=CIUDAD JARD�N, codDistrito=3, nomDistrito=CIUDAD JARDIN)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=336, via=CL, nombre=ACTRIZ ROSARIO PINO, primerNum=2, ultimoNum=44, barrio=SEGALERVA, codDistrito=1, nomDistrito=CENTRO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=350, via=CL, nombre=ACTUALIDAD, primerNum=1, ultimoNum=11, barrio=MONTE DORADO, codDistrito=3, nomDistrito=CIUDAD JARDIN)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=350, via=CL, nombre=ACTUALIDAD, primerNum=2, ultimoNum=20, barrio=MONTE DORADO, codDistrito=3, nomDistrito=CIUDAD JARDIN)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=364, via=CL, nombre=ADAJA, primerNum=1, ultimoNum=5, barrio=SANTA MARTA, codDistrito=6, nomDistrito=CRUZ DE HUMILLADERO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=364, via=CL, nombre=ADAJA, primerNum=2, ultimoNum=10, barrio=SANTA MARTA, codDistrito=6, nomDistrito=CRUZ DE HUMILLADERO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=392, via=CL, nombre=ADELA QUIGUISOLA, primerNum=1, ultimoNum=11, barrio=LA TRINIDAD, codDistrito=1, nomDistrito=CENTRO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=392, via=CL, nombre=ADELA QUIGUISOLA, primerNum=2, ultimoNum=14, barrio=LA TRINIDAD, codDistrito=1, nomDistrito=CENTRO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=441, via=CMNO, nombre=ADELFILLA DE LA, primerNum=1, ultimoNum=9, barrio=SAN JOSE, codDistrito=3, nomDistrito=CIUDAD JARDIN)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=441, via=CMNO, nombre=ADELFILLA DE LA, primerNum=2, ultimoNum=16, barrio=SAN JOSE, codDistrito=3, nomDistrito=CIUDAD JARDIN)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=82683, via=CL, nombre=ADOLFO SANCHEZ VAZQUEZ, primerNum=1, ultimoNum=5, barrio=IND SIEMENS, codDistrito=6, nomDistrito=CRUZ DE HUMILLADERO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=82683, via=CL, nombre=ADOLFO SANCHEZ VAZQUEZ, primerNum=2, ultimoNum=2, barrio=IND SIEMENS, codDistrito=6, nomDistrito=CRUZ DE HUMILLADERO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=21654, via=BV, nombre=ADOLFO SUAREZ, primerNum=1, ultimoNum=67, barrio=DOS HERMANAS, codDistrito=7, nomDistrito=CARRETERA DE CADIZ)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=21654, via=BV, nombre=ADOLFO SUAREZ, primerNum=69, ultimoNum=95, barrio=NUEVO SAN ANDRES 1, codDistrito=7, nomDistrito=CARRETERA DE CADIZ)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=21654, via=BV, nombre=ADOLFO SUAREZ, primerNum=2, ultimoNum=32, barrio=POL IND RONDA EXTERIOR, codDistrito=6, nomDistrito=CRUZ DE HUMILLADERO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=21654, via=BV, nombre=ADOLFO SUAREZ, primerNum=34, ultimoNum=34, barrio=EL DUENDE, codDistrito=6, nomDistrito=CRUZ DE HUMILLADERO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=40277, via=CL, nombre=ADONIS, primerNum=1, ultimoNum=31, barrio=CAMPANILLAS, codDistrito=9, nomDistrito=CAMPANILLAS)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=40277, via=CL, nombre=ADONIS, primerNum=2, ultimoNum=6, barrio=CAMPANILLAS, codDistrito=9, nomDistrito=CAMPANILLAS)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=448, via=PJE, nombre=ADRA, primerNum=1, ultimoNum=7, barrio=CRUZ DEL HUMILLADERO, codDistrito=6, nomDistrito=CRUZ DE HUMILLADERO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=448, via=PJE, nombre=ADRA, primerNum=2, ultimoNum=6, barrio=CRUZ DEL HUMILLADERO, codDistrito=6, nomDistrito=CRUZ DE HUMILLADERO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=504, via=PL, nombre=ADUANA, primerNum=1, ultimoNum=3, barrio=CENTRO HISTORICO, codDistrito=1, nomDistrito=CENTRO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=504, via=PL, nombre=ADUANA, primerNum=2, ultimoNum=4, barrio=CENTRO HISTORICO, codDistrito=1, nomDistrito=CENTRO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=476, via=CL, nombre=ADUANAS, primerNum=1, ultimoNum=17, barrio=CAMPANILLAS, codDistrito=9, nomDistrito=CAMPANILLAS)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=476, via=CL, nombre=ADUANAS, primerNum=2, ultimoNum=18, barrio=CAMPANILLAS, codDistrito=9, nomDistrito=CAMPANILLAS)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=532, via=CTRA, nombre=AEROCLUB, primerNum=1, ultimoNum=7, barrio=IND SAN MIGUEL, codDistrito=8, nomDistrito=CHURRIANA)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=532, via=CTRA, nombre=AEROCLUB, primerNum=2, ultimoNum=26, barrio=AEROPUERTO BASE AEREA, codDistrito=8, nomDistrito=CHURRIANA)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=532, via=CTRA, nombre=AEROCLUB, primerNum=28, ultimoNum=28, barrio=IND SAN MIGUEL, codDistrito=8, nomDistrito=CHURRIANA)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=546, via=CL, nombre=AEROLITO, primerNum=1, ultimoNum=3, barrio=SALINAS, codDistrito=10, nomDistrito=PUERTO DE LA TORRE)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=546, via=CL, nombre=AEROLITO, primerNum=2, ultimoNum=6, barrio=SALINAS, codDistrito=10, nomDistrito=PUERTO DE LA TORRE)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=51796, via=CL, nombre=AFGANISTAN, primerNum=1, ultimoNum=3, barrio=EL HIGUERAL, codDistrito=7, nomDistrito=CARRETERA DE CADIZ)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=51796, via=CL, nombre=AFGANISTAN, primerNum=2, ultimoNum=2, barrio=EL HIGUERAL, codDistrito=7, nomDistrito=CARRETERA DE CADIZ)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=21652, via=GTA, nombre=AFICION MALAGUISTA, primerNum=1, ultimoNum=1, barrio=LA ROCA, codDistrito=5, nomDistrito=PALMA-PALMILLA)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=21652, via=GTA, nombre=AFICION MALAGUISTA, primerNum=2, ultimoNum=2, barrio=LA ROCA, codDistrito=5, nomDistrito=PALMA-PALMILLA)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=560, via=CL, nombre=AFLIGIDOS, primerNum=1, ultimoNum=5, barrio=CENTRO HISTORICO, codDistrito=1, nomDistrito=CENTRO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=560, via=CL, nombre=AFLIGIDOS, primerNum=2, ultimoNum=2, barrio=CENTRO HISTORICO, codDistrito=1, nomDistrito=CENTRO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=5689, via=CL, nombre=AFRODITA, primerNum=1, ultimoNum=29, barrio=ARROYO ESPA�A, codDistrito=10, nomDistrito=PUERTO DE LA TORRE)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=5689, via=CL, nombre=AFRODITA, primerNum=2, ultimoNum=20, barrio=ARROYO ESPA�A, codDistrito=10, nomDistrito=PUERTO DE LA TORRE)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=567, via=CL, nombre=AGAPANTO, primerNum=1, ultimoNum=15, barrio=EL CORTIJUELO JUNTA CAMINOS, codDistrito=10, nomDistrito=PUERTO DE LA TORRE)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=567, via=CL, nombre=AGAPANTO, primerNum=17, ultimoNum=27, barrio=DISEMINADO DM P DE LA TORRE, codDistrito=10, nomDistrito=PUERTO DE LA TORRE)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=567, via=CL, nombre=AGAPANTO, primerNum=2, ultimoNum=20, barrio=EL CORTIJUELO JUNTA CAMINOS, codDistrito=10, nomDistrito=PUERTO DE LA TORRE)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=588, via=CL, nombre=AGATA, primerNum=1, ultimoNum=3, barrio=COLMENAREJO, codDistrito=9, nomDistrito=CAMPANILLAS)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=588, via=CL, nombre=AGATA, primerNum=5, ultimoNum=59, barrio=DSMO DM CAMPANILLAS, codDistrito=9, nomDistrito=CAMPANILLAS)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=588, via=CL, nombre=AGATA, primerNum=2, ultimoNum=12, barrio=COLMENAREJO, codDistrito=9, nomDistrito=CAMPANILLAS)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=588, via=CL, nombre=AGATA, primerNum=14, ultimoNum=70, barrio=DSMO DM CAMPANILLAS, codDistrito=9, nomDistrito=CAMPANILLAS)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=602, via=CL, nombre=AGATHA CHRISTIE, primerNum=1, ultimoNum=13, barrio=SAN JOSE DEL VISO, codDistrito=6, nomDistrito=CRUZ DE HUMILLADERO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=602, via=CL, nombre=AGATHA CHRISTIE, primerNum=2, ultimoNum=12, barrio=SAN JOSE DEL VISO, codDistrito=6, nomDistrito=CRUZ DE HUMILLADERO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=616, via=CL, nombre=AGATITA, primerNum=1, ultimoNum=17, barrio=COLMENAREJO, codDistrito=9, nomDistrito=CAMPANILLAS)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=616, via=CL, nombre=AGATITA, primerNum=2, ultimoNum=20, barrio=COLMENAREJO, codDistrito=9, nomDistrito=CAMPANILLAS)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=644, via=CMNO, nombre=AGROPECUARIO DE REALENGA, primerNum=1, ultimoNum=19, barrio=EL OLIVAR, codDistrito=8, nomDistrito=CHURRIANA)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=644, via=CMNO, nombre=AGROPECUARIO DE REALENGA, primerNum=2, ultimoNum=2, barrio=SANTA TECLA, codDistrito=8, nomDistrito=CHURRIANA)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=644, via=CMNO, nombre=AGROPECUARIO DE REALENGA, primerNum=4, ultimoNum=4, barrio=EL OLIVAR, codDistrito=8, nomDistrito=CHURRIANA)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=680, via=CL, nombre=AGUA, primerNum=1, ultimoNum=23, barrio=LA VICTORIA, codDistrito=1, nomDistrito=CENTRO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=680, via=CL, nombre=AGUA, primerNum=2, ultimoNum=26, barrio=LA VICTORIA, codDistrito=1, nomDistrito=CENTRO)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=700, via=CL, nombre=AGUACATES LOS, primerNum=1, ultimoNum=5, barrio=CIUDAD JARD�N, codDistrito=3, nomDistrito=CIUDAD JARDIN)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=700, via=CL, nombre=AGUACATES LOS, primerNum=7, ultimoNum=17, barrio=LOS CIPRESES, codDistrito=3, nomDistrito=CIUDAD JARDIN)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=700, via=CL, nombre=AGUACATES LOS, primerNum=2, ultimoNum=24, barrio=LOS CIPRESES, codDistrito=3, nomDistrito=CIUDAD JARDIN)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=81709, via=DSMO, nombre=AGUELITO EL, primerNum=1, ultimoNum=1, barrio=DSMO DM PALMA-PALMILLA, codDistrito=5, nomDistrito=PALMA-PALMILLA)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=728, via=CL, nombre=AGUILA, primerNum=1, ultimoNum=19, barrio=EL TOMILLAR, codDistrito=10, nomDistrito=PUERTO DE LA TORRE)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=728, via=CL, nombre=AGUILA, primerNum=2, ultimoNum=14, barrio=EL TOMILLAR, codDistrito=10, nomDistrito=PUERTO DE LA TORRE)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=81769, via=DSMO, nombre=AGUILAR, primerNum=1, ultimoNum=1, barrio=DSMO DM PALMA-PALMILLA, codDistrito=5, nomDistrito=PALMA-PALMILLA)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=798, via=CL, nombre=AGUILITA, primerNum=1, ultimoNum=3, barrio=SAN JULIAN, codDistrito=8, nomDistrito=CHURRIANA)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=798, via=CL, nombre=AGUILITA, primerNum=2, ultimoNum=4, barrio=SAN JULIAN, codDistrito=8, nomDistrito=CHURRIANA)No cumple con la validación
Error al procesar el item {}: {}Calle(id=null, codigo=826, via=CL, nombre=AGUJETA, primerNum=1, ultimoNum=3, barrio=POL IND MI MALAGA, codDistrito=8, nomDistrito=CHURRIANA)No cumple con la validación
